gamma,lr,hidden_sizes,batch_size,memory_size,seed,eps_decay,steps_to_goal
0.9,0.001,32-32,32,100000,0,800,152
0.9,0.001,32-32,32,100000,0,900,200
0.9,0.001,32-32,32,100000,0,1000,200
0.9,0.001,32-32,32,100000,0,1100,200
0.9,0.001,32-32,32,100000,0,1200,200
0.9,0.001,32-32,32,100000,0,1300,200
0.9,0.001,32-32,32,100000,0,1400,200
0.9,0.001,32-32,32,100000,0,1500,200
0.9,0.001,32-32,32,200000,0,800,200
0.9,0.001,32-32,32,200000,0,900,200
0.9,0.001,32-32,32,200000,0,1000,200
0.9,0.001,32-32,32,200000,0,1100,200
0.9,0.001,32-32,32,200000,0,1200,200
0.9,0.001,32-32,32,200000,0,1300,200
0.9,0.001,32-32,32,200000,0,1400,200
0.9,0.001,32-32,32,200000,0,1500,200
0.9,0.001,32-32,64,100000,0,800,200
0.9,0.001,32-32,64,100000,0,900,200
0.9,0.001,32-32,64,100000,0,1000,200
0.9,0.001,32-32,64,100000,0,1100,200
0.9,0.001,32-32,64,100000,0,1200,200
0.9,0.001,32-32,64,100000,0,1300,200
0.9,0.001,32-32,64,100000,0,1400,200
0.9,0.001,32-32,64,100000,0,1500,200
0.9,0.001,32-32,64,200000,0,800,200
0.9,0.001,32-32,64,200000,0,900,200
0.9,0.001,32-32,64,200000,0,1000,200
0.9,0.001,32-32,64,200000,0,1100,200
0.9,0.001,32-32,64,200000,0,1200,200
0.9,0.001,32-32,64,200000,0,1300,200
0.9,0.001,32-32,64,200000,0,1400,200
0.9,0.001,32-32,64,200000,0,1500,200
0.9,0.001,32-32,128,100000,0,800,200
0.9,0.001,32-32,128,100000,0,900,200
0.9,0.001,32-32,128,100000,0,1000,200
0.9,0.001,32-32,128,100000,0,1100,200
0.9,0.001,32-32,128,100000,0,1200,200
0.9,0.001,32-32,128,100000,0,1300,200
0.9,0.001,32-32,128,100000,0,1400,200
0.9,0.001,32-32,128,100000,0,1500,200
0.9,0.001,32-32,128,200000,0,800,200
0.9,0.001,32-32,128,200000,0,900,200
0.9,0.001,32-32,128,200000,0,1000,200
0.9,0.001,32-32,128,200000,0,1100,200
0.9,0.001,32-32,128,200000,0,1200,200
0.9,0.001,32-32,128,200000,0,1300,200
0.9,0.001,32-32,128,200000,0,1400,200
0.9,0.001,32-32,128,200000,0,1500,200
0.9,0.001,64-32,32,100000,0,800,200
0.9,0.001,64-32,32,100000,0,900,200
0.9,0.001,64-32,32,100000,0,1000,200
0.9,0.001,64-32,32,100000,0,1100,200
0.9,0.001,64-32,32,100000,0,1200,200
0.9,0.001,64-32,32,100000,0,1300,200
0.9,0.001,64-32,32,100000,0,1400,200
0.9,0.001,64-32,32,100000,0,1500,200
0.9,0.001,64-32,32,200000,0,800,200
0.9,0.001,64-32,32,200000,0,900,200
0.9,0.001,64-32,32,200000,0,1000,200
0.9,0.001,64-32,32,200000,0,1100,200
0.9,0.001,64-32,32,200000,0,1200,200
0.9,0.001,64-32,32,200000,0,1300,200
0.9,0.001,64-32,32,200000,0,1400,162
0.9,0.001,64-32,32,200000,0,1500,200
0.9,0.001,64-32,64,100000,0,800,200
0.9,0.001,64-32,64,100000,0,900,200
0.9,0.001,64-32,64,100000,0,1000,200
0.9,0.001,64-32,64,100000,0,1100,200
0.9,0.001,64-32,64,100000,0,1200,200
0.9,0.001,64-32,64,100000,0,1300,200
0.9,0.001,64-32,64,100000,0,1400,200
0.9,0.001,64-32,64,100000,0,1500,200
0.9,0.001,64-32,64,200000,0,800,200
0.9,0.001,64-32,64,200000,0,900,200
0.9,0.001,64-32,64,200000,0,1000,200
0.9,0.001,64-32,64,200000,0,1100,200
0.9,0.001,64-32,64,200000,0,1200,200
0.9,0.001,64-32,64,200000,0,1300,200
0.9,0.001,64-32,64,200000,0,1400,200
0.9,0.001,64-32,64,200000,0,1500,169
0.9,0.001,64-32,128,100000,0,800,200
0.9,0.001,64-32,128,100000,0,900,200
0.9,0.001,64-32,128,100000,0,1000,200
0.9,0.001,64-32,128,100000,0,1100,200
0.9,0.001,64-32,128,100000,0,1200,200
0.9,0.001,64-32,128,100000,0,1300,200
0.9,0.001,64-32,128,100000,0,1400,126
0.9,0.001,64-32,128,100000,0,1500,200
0.9,0.001,64-32,128,200000,0,800,200
0.9,0.001,64-32,128,200000,0,900,200
0.9,0.001,64-32,128,200000,0,1000,200
0.9,0.001,64-32,128,200000,0,1100,200
0.9,0.001,64-32,128,200000,0,1200,200
0.9,0.001,64-32,128,200000,0,1300,200
0.9,0.001,64-32,128,200000,0,1400,200
0.9,0.001,64-32,128,200000,0,1500,200
0.9,0.001,64-64,32,100000,0,800,200
0.9,0.001,64-64,32,100000,0,900,200
0.9,0.001,64-64,32,100000,0,1000,200
0.9,0.001,64-64,32,100000,0,1100,200
0.9,0.001,64-64,32,100000,0,1200,200
0.9,0.001,64-64,32,100000,0,1300,200
0.9,0.001,64-64,32,100000,0,1400,200
0.9,0.001,64-64,32,100000,0,1500,200
0.9,0.001,64-64,32,200000,0,800,200
0.9,0.001,64-64,32,200000,0,900,200
0.9,0.001,64-64,32,200000,0,1000,200
0.9,0.001,64-64,32,200000,0,1100,200
0.9,0.001,64-64,32,200000,0,1200,200
0.9,0.001,64-64,32,200000,0,1300,200
0.9,0.001,64-64,32,200000,0,1400,200
0.9,0.001,64-64,32,200000,0,1500,200
0.9,0.001,64-64,64,100000,0,800,200
0.9,0.001,64-64,64,100000,0,900,200
0.9,0.001,64-64,64,100000,0,1000,200
0.9,0.001,64-64,64,100000,0,1100,200
0.9,0.001,64-64,64,100000,0,1200,200
0.9,0.001,64-64,64,100000,0,1300,200
0.9,0.001,64-64,64,100000,0,1400,200
0.9,0.001,64-64,64,100000,0,1500,200
0.9,0.001,64-64,64,200000,0,800,128
0.9,0.001,64-64,64,200000,0,900,200
0.9,0.001,64-64,64,200000,0,1000,200
0.9,0.001,64-64,64,200000,0,1100,200
0.9,0.001,64-64,64,200000,0,1200,200
0.9,0.001,64-64,64,200000,0,1300,200
0.9,0.001,64-64,64,200000,0,1400,200
0.9,0.001,64-64,64,200000,0,1500,200
0.9,0.001,64-64,128,100000,0,800,200
0.9,0.001,64-64,128,100000,0,900,200
0.9,0.001,64-64,128,100000,0,1000,200
0.9,0.001,64-64,128,100000,0,1100,200
0.9,0.001,64-64,128,100000,0,1200,200
0.9,0.001,64-64,128,100000,0,1300,200
0.9,0.001,64-64,128,100000,0,1400,200
0.9,0.001,64-64,128,100000,0,1500,200
0.9,0.001,64-64,128,200000,0,800,200
0.9,0.001,64-64,128,200000,0,900,200
0.9,0.001,64-64,128,200000,0,1000,200
0.9,0.001,64-64,128,200000,0,1100,200
0.9,0.001,64-64,128,200000,0,1200,200
0.9,0.001,64-64,128,200000,0,1300,200
0.9,0.001,64-64,128,200000,0,1400,200
0.9,0.001,64-64,128,200000,0,1500,200
0.9,0.001,128-64,32,100000,0,800,200
0.9,0.001,128-64,32,100000,0,900,200
0.9,0.001,128-64,32,100000,0,1000,200
0.9,0.001,128-64,32,100000,0,1100,200
0.9,0.001,128-64,32,100000,0,1200,200
0.9,0.001,128-64,32,100000,0,1300,200
0.9,0.001,128-64,32,100000,0,1400,200
0.9,0.001,128-64,32,100000,0,1500,200
0.9,0.001,128-64,32,200000,0,800,200
0.9,0.001,128-64,32,200000,0,900,200
0.9,0.001,128-64,32,200000,0,1000,200
0.9,0.001,128-64,32,200000,0,1100,200
0.9,0.001,128-64,32,200000,0,1200,200
0.9,0.001,128-64,32,200000,0,1300,200
0.9,0.001,128-64,32,200000,0,1400,200
0.9,0.001,128-64,32,200000,0,1500,200
